編號,基金會名稱,郵遞區號,住址,董事長,目的,許可日期,文號,原始設立基金,目前基金總額,連絡電話,聯絡人,FAX,郵遞區號,聯絡地址,備註
17,財團法人明德基金會,105,臺北市松山區敦化北路201之36號2樓,王永慶,創辦或協助有關文教等社會公益事業，以增進社會安定與經濟繁榮為宗旨。,1974-03-17,臺(63)高15630號,20000000,20000000,(02)2712-2211#5361,鄭思寧,(02)2717-8407,105,臺北市松山區敦化北路201號後棟2樓,
18,財團法人太平洋文化基金會,100,臺北市中正區重慶南路3段38號,李煥,為促進太平洋地區各國間文化交流及民間相互瞭解，並加強該地區經濟與社會關係以增進本國與各國間友好關係為主要目標。,1974-06-27,臺(63)高16605號,10000000,58000000,(02)2337-7155#143,杜程耘,(02)2337-7167,100,臺北市中正區重慶南路3段38號,
20,財團法人清宗文化教育基金會,108,臺北市萬華區中華路1段178號,王錦萬,藉諸發揚傳統文化、獎助學術研究，培養人才以提高工業水準，促進經濟繁榮。,1974-09-17,臺(63)高25279號,12100000,30000000,(02)2375-2169,王錦耀,,111,臺北市萬華區中華路1段178號,
21,財團法人現代企業經營學術基金會,221,新北市汐止區新台五路1段77號9樓之7,石滋宜,以提倡現代管理學術改善企業經營為宗旨。,1974-10-11,臺(63)高27556號,4200000,4200000,(02)2698-3568#18,吳秀芳,(02)2698-9250,221,新北市汐止區新台五路1段77號9樓之7,
22,財團法人國立中山大學校友文化基金會,100,臺北市中正區濟南路2段28號,祝鳳岡,以聯絡國立中山大學校友，獎助研究與發揚國父思想與中華文化為宗旨。,1974-10-29,臺(63)高29843號,1000000,3250470,(02)2351-3272,祝鳳岡,(02)2351-3272,100,臺北市中正區羅斯福路1段119巷9號2樓,
23,財團法人李士珍警察子弟獎學基金會,106,臺北市大安區潮州街91號之4,李保玉,以獎勵警察子弟升學，為國家教育人才為宗旨。,1975-02-26,臺(64)高4424號,1100000,8000000,(03)328-2329,謝幸如,(03)328-2329,333,桃園縣龜山鄉大崗村樹人路56號中央警察大學,
27,財團法人劉氏基金會,106,臺北市大安區忠孝東路4段333號,李賢鎧,以促進醫藥、文化及教育等之研究發展及有關慈善事業為宗旨。,1975-11-17,臺(64)高30817號,50000,5441514,(02)8792-3137,熊光明,(02)8792-4198,114,臺北市內湖區民權東路6段161號,
30,財團法人劉大中先生教育文化紀念基金會,115,臺北市南港區研究院路2段128號,許嘉棟,以獎助財經教育及其學術之研究與發展為目的。,1976-02-23,臺(65)高4417號,536217,18500000,(02)2782-2791#633,沈靜宜,(02)2651-8874,115,臺北市南港區研究院路2段128號經濟研究所,
31,財團法人林本源中華文化教育基金會,103,臺北市大同區民生西路317號,林瀚東,以復興中華文化並協助發展文化教育事業目的。,1976-03-15,臺(65)高6193號,1000000,88446920,(02)2557-5136,詹雲驄,(02)2549-5485,103,臺北市大同區民生西路317號,
32,財團法人應雲崗先生紀念基金會,106,臺北市大安區信義路3段7號3樓Ａ座,應鶴山,舉辦或協助文化、教育、科技發展等事業及舉辦獎助學金，學生貸款，俾對國家建設有所貢獻。,1976-08-09,臺(65)高20762號,1200000,200786143,(02)2706-6206,張清素,(02)2705-6207,106,臺北市大安區信義路3段7號3樓Ａ座,
33,財團法人台北國際婦女協會教育基金會,110,臺北市信義區基隆路1段127號11樓之3,李王麗雲,獎助勤勉學生就讀大專及職業學校以及(或)有關文化方面之進修、獎助金受領人須為中華民國之國民。,1976-10-04,臺(75)高26886號,1500000,1500000,(02)2708-7839,陳蘭馨,,110,臺北市信義區基隆路1段127號11樓之3,
34,財團法人中華文化基金會,100,臺北市中正區臨沂街45巷4號3樓,蕭祥玲,以宣揚中華文化，闡述三民主義，促進大眾傳播事業暨國際文化交流為宗旨。,1976-10-09,臺(65)高27771號,5000000,12840000,(02)2776-1461,顏貝珊,(02)2778-2213,106,臺北市大安區仁愛路4段85號5樓,
35,財團法人徐元智先生紀念基金會,100,臺北市中正區延平南路128號,孫震,以舉辦或協助文化、教育、科技發展等事業，及舉辦獎助學金、學生貸款，俾對國家建設有所貢獻為目的。,1976-11-16,臺(65)高31919號,100000000,218538065,(02)2733-8000#8248,胡湘君,(02)2736-7184,106,臺北市大安區敦化南路2段207號38樓,
36,財團法人滿寬文教基金會,105,臺北市松山區敦化北路207號6樓之1,邱慶山,以協助推廣社會教育、獎勵教育及學術研究，並以提高生活品質為宗旨。,1989-11-04,臺(78)社54347號,1000000,2000000,(02)2371-0166,黃秋蘭,(02)2719-7975,100,臺北市中正區衡陽路10號11樓,
38,財團法人中華扶輪教育基金會,403,臺中市西區大隆路20號5樓之1,黃慶淵,以基於扶輪服務精神，鼓勵及培養國內外優秀青年，促進國際間之友誼及瞭解為宗旨。,1977-01-28,臺(66)高3015號,1200000,88000000,(04)2328-2971,張俊築,(02)2328-2972,403,臺中市西區大隆路20號5樓之1,
39,財團法人艾森豪獎金中華民國協會,110,臺北市信義區松壽路3號,辜濂松,為響應及協助美國故總統艾森豪獎金會，以促進國際文化交流。,1977-03-18,臺(66)高7177號,1800000,50000000,(02)2723-5004,祝佳玲,(02)2723-3872,110,臺北市信義區松壽路3號,
40,財團法人國防醫學院校友支持母校發展基金會,106,臺北市大安區忠孝東路4段333號4樓,張德明,為國防醫學院校友共同貢獻力量，促進母校建設，協助國家培植醫學人才為宗旨。,1977-04-13,臺(66)高9501號,1000000,61025139,(02)8792-3137,熊光明,(02)8792-4198,114,臺北市內湖區民權東路6段161號,
41,財團法人宗倬章先生教育基金會,320,桃園縣中壢市新生路2段232號,宗成志,獎勵協助文化教育科技發展，並獎助清寒優秀青年完成學業致力建國大業。,1977-08-03,臺(66)高21821號,30000000,730000000,(02)2558-3987,宗緒麗,(02)2550-7384,103,臺北市大同區承德路1段40號12樓,
42,財團法人黃啟瑞先生獎學金基金會,106,臺北市大安區安和路1段117巷2號,黃書璋,為獎勵清寒優秀青年完成學業為宗旨。,1977-10-06,臺(66)高28748號,1350000,5000000,(02)2563-8598,黃麗玲,(02)2563-8602,104,臺北市中山區南京東路2段71號8樓之2,
43,財團法人台灣比較法學基金會,100,臺北市中正區忠孝東路1段138號8樓,陳繼盛,資助比較法學研究及法律教育服務。,1977-05-19,臺(66)高9502號,700000,700000,(02)2396-0042,王美雯,(02)2321-4688,100,臺北市中正區忠孝東路1段138號8樓,
44,財團法人張祖棻張先林醫療教育基金會,106,臺北市大安區忠孝東路4段77號,呂曄彬,以幫助家境清寒成績優良之醫科學生完成學業為目的。,1978-01-13,臺(67)高0966號,1031000,1061000,(02)2751-0221#3011,莊美雲,(02)2772-8132,106,臺北市大安區忠孝東路4段77號3樓,
45,財團法人自由基金會,100,臺北市中正區青島東路7號2樓之1,穆閩珠,促進國際文化交流，維護宣揚自由民主。,1978-07-06,臺(67)高17834號,500000,500000,(02)8665-9007,劉良驥,(02)2358-6660,231,新北市新店區北宜路1段35號5樓之1,
46,財團法人華新科技獎學基金會,105,臺北市松山區民生東路3段117號11樓,陳昭如,以獎助發展有關材料、電子、資訊與工業管理人才為目的。,1978-09-04,臺(67)高24126號,3000000,10000000,(02)2723-0887#2810,李定珠,(02)2723-1979,110,臺北市信義區松智路1號24樓,
47,財團法人中韓文化基金會,105,臺北市松山區寧安街12號,林秋山,維護中韓兩國之傳統友誼，促進兩國文化之交流為目的。,1978-11-21,臺(67)高34132號,3500000,13000000,(02)2579-4872,林倫安,(02)2579-4115,105,臺北市松山區寧安街12號,
48,財團法人中華民國貿易教育基金會,104,臺北市中山區松江路350號,劉國昭,以興辦貿易教育，協助貿易從業人員進修及對國際貿易問題研究推廣為宗旨。,1979-03-14,臺(68)高6606號,10000000,383000000,(02)2543-2491,戴紹成,(02)2543-2491,104,臺北市中山區松江路350號8樓,
49,財團法人尊親科學文化教育基金會,265,宜蘭縣羅東鎮南昌里民族路1號,李文裕,為感恩上一代之栽培發揚固有倫理道德，把對上一代的尊親孝思，昇華在關懷下一代青少年的自然科學文化教育上，把倫理之情，發揮成社會之愛，進而促進國際科學與文化交流為目的。,1979-05-05,,1050000,1050000,(03)954-2342,葛聿銘,,265,宜蘭縣羅東鎮民族路1號,
50,財團法人中華管理發展基金會,106,臺北市大安區新生南路1段161巷32之3號3樓,吳靜吉,因應全球化發展趨勢，推廣管理知識，提高個人、團體、企業及非營利組織之管理能力，生產力和創造力。,2000-06-05,臺(89)社(四)89067740號,500000,500000,(02)2939-3091#65719,林坤賢,(02)2938-7754,116,臺北市文山區指南路2段64號逸仙樓708室,
51,財團法人動物醫學研究基金會,403,臺中市西區五權八街100號,盧文鴻,從事有關動物醫學與生產之規劃、設計、調查、研究及培育動物醫學人才，以達到服務社會為目的。,1979-09-26,臺(68)高28314號,500000,500000,(04)2276-4530,張夢心,,412,臺中市大里區公教街120巷2號,
52,財團法人郁氏文教基金會,106,臺北市大安區敦化南路2段46號806室,郁慕明,以弘揚保存中華文化，出版古人偉大名著與禮制、樂府有關叢書並獎助研究所博士禮樂論文及個人專門著作外，並以結合世界華人，胸懷中國意識，宏揚中華文化，推動民主政治及自由經濟發展為目的。,1979-10-04,臺(68)高29347號,144802,1448020,(02)2706-3829#129,袁富仁,,106,臺北市大安區敦化南路2段46號806室,
53,財團法人勞工研究資料中心基金會,100,臺北市中正區北平東路24號7樓之1,陳繼盛,以促進勞工學術之研究，培養勞工學術研究之人才，普及勞工教育及增進社會福利為宗旨。,1980-02-04,臺(69)高3479號,300000,300000,(02)2391-7412,吳慎宜,,100,臺北市中正區北平東路24號7樓之1,
54,財團法人桂山眼科教育研究基金會,100,臺北市中正區常德街1號台大醫院眼科,林迺惠,以提高我國眼科教學與學術研究水準增進社會福利。,1980-06-02,臺(69)高16347號,400000,400000,(02)2312-3456#66572,顏如雪,,100,臺北市中正區中山南路7號(台大醫院眼科),
56,財團法人中華民國消費者文教基金會,106,臺北市大安區復興南路1段390號10樓之3之4,蘇錦霞,以推廣消費者教育，增進消費者地位及保障消費者權益為宗旨。,1980-09-04,臺(69)高26938號,1100000,36477246,(02)2325-4587,吳明島,(02)2703-2675,106,臺北市大安區復興南路1段390號10樓之2,
57,財團法人中華民國哈佛大學同學會獎學金基金會,105,臺北市松山區民生東路3段156號12樓,余正雄,1獎助經美國哈佛大學推荐之美國學生，來台進修。2獎助經本會(或經本會約請之機關或學校)遴選之中華民國學生，赴美國哈佛大學各研究所進修。3於哈佛大學及國內大學設置教授講座。4贊助其他闡揚美國哈佛大學「求真」(Veritas)校訓有關之學術文化活動。,1980-12-24,臺(69)高42048號,500000,5786142,(02)2568-2356#891,黃柏閎,(02)2564-3945,105,臺北市松山區民生東路3段156號12樓,
58,財團法人中山學術研究基金會,106,臺北市大安區仁愛路3段29號9樓之1,劉維琪,為獎助教育事業暨資助國立中山大學從事中山學術思想及專門學術之研究，以培養人才，提高中山大學的學術地位及國際聲望，而提供各項學術研究所必要之經費協肋。,1981-01-31,臺(70)高3277號,10000000,25000000,(02)8771-9975,林沛晶,(02)2337-7167,106,臺北市大安區仁愛路3段29號9樓之1,
61,財團法人道真護理教育研究基金會,100,臺北市中正區仁愛路1段1號,余玉眉,以促進護理教學與學術研究，進而提高護理素質，增進社會福利為宗旨。,1981-04-29,臺(70)高13496號,1000000,7000000,(02)2391-7810,鍾真理,,100,臺北市中正區徐州路2之1號,
62,財團法人高雄企銀文教公益基金會,806,高雄市前鎮區民權二路8號25樓,王仁孚,促進高雄、屏東及澎湖地區文化生活水準之提高，擬經由文化、教育、公益等工作或事業之舉辦及獎助，致力此宗旨之達成。,1985-11-01,臺(74)高48386號,5000000,10000000,(07)332-8434,沈淑華,(07)251-4603,806,高雄市前鎮區民權二路8號25樓,
63,財團法人綠杏文化事業基金會,104,臺北市中山區松江路19號1樓,李宏信,獎助文化教育及醫療教育(以協助台北醫學院之發展為優先)。,1981-06-08,臺(70)高18059號,500000,500000,(02)2542-2076,黃燦和,,104,臺北市中山區長安東路2段17號,
64,財團法人香蘭基金會,100,臺北市中正區懷寧街78號5樓,徐崇雄,以興辦社會教育及保育動物教育，推廣保育動物之知識為宗旨。,1981-06-13,臺(70)高18778號,1828682,3828682,(02)2371-0699,徐崇雄,(02)2381-9740,100,臺北市中正區懷寧街78號5樓,
66,財團法人中國財稅金融文教基金會,100,台北市中正區紹興北街35號6樓之3,張雁昆,為促進財稅金融學術及實務之研究活動，發展學術服務社會。,1981-08-13,台(70)高27067號,2000000,2000000,(02)2351-8387,林明珠,(02)2396-1336,100,台北市中正區紹興北街35號6樓之3,
67,財團法人中華民國龍人文教公益基金會,108,臺北市萬華區桂林路144號4樓,許穆生,響應政府推行中華文化恢復固有道德之號召，為國內文教公益事業貢獻力量，捐助各種文教公益事業為目的。,1981-09-24,臺(70)高33104號,1000000,10000000,(02)2986-4737,蔡再文,(02)2985-9096,241,新北市三重區自由街35巷2號1樓,
68,財團法人陳果夫先生獎學金基金會,100,臺北市中正區忠孝東路2段88號13樓1306室,張昌邦,以紀念陳果夫先生對黨國之卓越貢獻，發揚其畢生愛護青年之精神為宗旨。,1982-01-14,臺(71)高01619號,3000000,3000000,(02)2396-5658,林芬菁,(02)2396-5606,100,臺北市中正區忠孝東路2段88號13樓1306室,
69,財團法人博紹文教基金會,106,臺北市大安區青田街10號7樓,黃妙珠,以提昇醫學有關之研究與教育為宗旨。,1982-04-07,臺(71)高10554號,1000000,1000000,(03)328-1200#8120,朱淑瓊,(03)328-2824,106,臺北市大安區青田街10號7樓,
72,財團法人中國回教文化教育基金會,106,臺北市大安區新生南路2段62號,馬凱南,以闡揚回教文化、傳播回教教義、辦理國內外獎助學金、廣譯回教經典，促進國際文化之交流與合作為宗旨。,1982-06-09,臺(71)高19480號,6000000,6000000,(02)2392-7364,白美玲,(02)2394-8390,106,臺北市大安區新生南路2段62號,
73,財團法人程欲明學術基金會,100,臺北市中正區羅斯福路1段7號7樓,程文晉,以獎勵品學兼優努力向上清寒大專青年學生完成學業為宗旨。,1982-03-06,臺(71)高06852號,2000000,2000000,(02)2786-1959,林宜燕,(02)2786-1559,115,臺北市南港區南港路2段99之16號,
74,財團法人中大學術基金會,115,臺北市南港區八德路4段768巷1弄18號3樓之1,劉兆漢,為發展學術及獎勵優秀學生。,1982-11-18,臺(71)高43532號,620000,114208304,(03)422-7151#65632,王乾盈,(03)425-2062,320,桃園縣中壢市五權里2鄰中大路300號,
75,財團法人中華民國朱氏宗親文教基金會,235,新北市中和區中正路797號3樓之2,朱建民,以明倫教孝，增進族誼，追懷祖德，獎勵中華民族文物研究，發展教育及學術事業為宗旨。,1982-09-30,臺(71)高35687號,1000000,1000000,(02)2663-2142,王福君,(02)2663-3234,223,新北市石碇局華梵路1號(華梵大學秘書室王福君秘書),
76,財團法人梅貽琦先生紀念學術基金會,106,臺北市大安區金華街110號,閻振興,為獎助在校大學優秀學生及專門學術研究具有貢獻之教職員生，以提高學術水準。,1982-12-20,臺(71)高48445號,1500000,1500000,(02)2648-6149,洪同,(02)2648-6149,106,臺北市大安區金華街110號,
77,財團法人紀念李建成先生文教基金會,106,臺北市大安區忠孝東路4段166號5樓之1,李正宗,辦理清寒學生獎學金及資助文化教育機構。,1982-12-20,臺(71)高48448號,5000000,41000000,(02)2752-2333,陳怡苓,(02)2771-0297,106,臺北市大安區忠孝東路4段166號5樓之1,
78,財團法人中華工業教育研究發展基金會,104,臺北市中山區南京東路1段24號8樓,許智偉,為響應政府推行工業教育，培養技術人才，促進工業升級之號召為宗旨。,1983-05-02,臺(72)高15931號,2000000,2000000,(02)2649-5679,梁滄郎,(02)2649-5679,104,臺北市中山區南京東路1段24號8樓,
79,財團法人中國六經學術研究發展基金會,420,臺中市豐原區三豐路486巷129弄12號,張淵量,昌明中華文化本源，發揚儒教精神，倡導六經學術之研究發展，獎助相關文教公益事業。,1983-05-25,臺(72)高19604號,1000000,1300000,(04)2524-4571,羅春美,(04)2528-5425,420,臺中市豐原區三豐路486巷129弄12號,
80,財團法人光華管理策進基金會,106,臺北市大安區金華街187號,黃營杉,提升我國管理學術水準，策進管理科技之中國化，及增進管理學術界與實務界知識資訊之交流為宗旨。,1983-05-27,臺(72)高19951號,1077683,1077683,(02)2380-0892,林惠玲,(02)2239-2769,116,臺北市文山區木柵郵政第174號信箱,
81,財團法人先鋒品質管制學術研究基金會,320,桃園縣中壢市中山路88號14樓,葉斯水,提高國內品質管制學術之水準，促進各界對品質管制學術之重視，以達成品質管制學術研究與工廠實務之結合為目的。,1983-06-29,臺(72)高24741號,1000000,1000000,(03)427-6555#202,陳美裡,(03)427-2550,320,桃園縣中壢市中山路88號14樓,
83,財團法人戴運軌田蘊蘭伉儷學術基金會,115,臺北市南港區八德路4段768巷1弄18號3樓之1,楊潔豪,為發展學術及獎勵優秀學生。,1983-07-20,臺(72)高28129號,1000000,2500000,(03)458-1196#6701,陳喜鳳,(03)468-4025,320,桃園縣中壢市中大路300號,原「戴運軌學術基金會」
85,財團法人張金鑑先生行政學術獎學基金會,110,臺北市信義區基隆路1段180號8樓,邱創煥,為崇敬中國行政學會基基宗師張金鑑先生之貢獻，提高大學公共行政學系組與研究所學生研究行政學科之志趣及促進行政學術之發展為目的。,1983-11-18,臺(73)高47924號,1250000,3000000,(02)2749-4988#11,張寶琴,(02)2749-5072,110,臺北市信義區基隆路1段180號8樓,
86,財團法人陳逢源先生文教基金會,0,臺北市松江路156-2號9樓,郭瑞嵩,為提高我國文化水準，辦理文藝創作、學術研究之獎勵及上項優良作品之出版與獎助事項或符合本會宗旨之文化教育等有關事業。,1983-11-30,臺(72)高49747號,11000000,11000000,(02)2542-7111,莊德民,(02)2507-4561,0,臺北市松江路156-2號9樓,
87,財團法人趙廷箴文教基金會,105,臺北市松山區敦化南路1段3號7樓,趙元修,以發揚中華文化，提升文化教育水準為宗旨。,1989-12-20,臺(78)社62977號,85000000,184000000,(02)2570-5276,許?荃,(02)2577-3995,105,臺北市松山區敦化南路1段3號7樓,
88,財團法人台大法學基金會,100,臺北市中正區徐州路21號,陳傳岳,以弘揚法治，擬經由舉辦法律學術活動，獎勵教學研究，以及法律社會教育暨法律服務之舉辦及獎助為宗旨。,1990-02-05,臺(79)社4909號,1000000,26873355,(02)2368-6014,胡叔伶,(02)2368-7104,106,臺北市大安區羅斯福路4段1號(台大法律學院霖澤館1704室),
90,財團法人中國現代化文化基金會,116,臺北市文山區辛亥路4段101巷85之9號,陳素真,在國內喚起民族自信、自尊；在國外為國家人民及文化繼創無形的信譽。,1984-06-15,臺(73)高22738號,2000000,2000000,(02)2934-6104,張寶樂,(02)2935-9350,116,臺北市文山區辛亥路4段101巷85之9號,
91,財團法人准提淨心基金會,114,臺北市內湖區陽光街300號2樓,劉泰英,以紀念財政部前關政司何故司長瑞坤博士為宗旨。,1984-09-24,臺(73)高37809號,1600000,1600000,(02)5580-2999#111,王畫陽,(02)5580-2996,114,臺北市內湖區陽光街300號2樓,
92,財團法人戈福江先生獎助學金紀念基金會,350,苗栗縣竹南鎮頂埔里科東二路52號,顏宏達,培養畜牧科技企業人才促進科學化、企業化之畜牧研究發展。,1984-10-11,臺(73)高40879號,2038436,2038436,(037)585-942,江柏輝,(037)585-665,350,苗栗縣竹南鎮頂埔里科東二路52號,
93,財團法人費之驊先生紀念基金會,106,臺北市大安區忠孝東路4段310號9樓,徐立德,以獎助學術文化研究為宗旨。,1984-11-19,臺(73)高48203號,3000000,4000000,(02)2311-9933#1011,鄒靜瑩,(02)2388-1116,100,臺北市中正區忠孝西路1段4號18樓,
94,財團法人周美玉女士護理教育發展基金會,106,台北市大安區忠孝東路4段333號4樓,王桂芸,響應政府培育科技人才與研究發展護理專業造福社會為目的。,1984-12-01,台(73)高50665號,5000000,13604417,(02)8792-3137,王桂芸,(02)8792-4198,114,台北市民權東路6段161號,
95,財團法人蘇始然先生獎學基金會,231,新北市新店區寶橋路229號,曾一淙,以獎助中華民國品學兼優之在學青年為宗旨，辦理獎學金頒發業務。,1984-12-10,臺(73)高51795號,3000000,3600000,(02)2915-0123#630,林其隆,(02)2912-9032,231,新北市新店區寶橋路229號,
96,財團法人再興文教基金會,114,臺北市內湖區大湖街131巷2弄6號1樓,李正斌,以獎助有關教育、文化及學術研究等公益事業為宗旨。,1984-12-12,臺(73)高52310號,2000000,7361000,(02)2795-6788#301,陳淑真,(02)2793-0388,114,臺北市內湖區大湖街131巷2弄6號1樓,
97,財團法人巴德紀念基金會,106,臺北市大安區忠孝東路4段333號4樓,盧信祥,為紀念菲立浦巴德與珍妮巴德夫婦在醫學相關科學之傑出成就。,1984-12-13,臺(73)高52537號,5168818,6255966,(02)8792-3137,陳耀昌,(02)8792-4198,114,臺北市內湖區民權東路6段161號,
98,財團法人佛陀教育基金會,100,臺北市中正區杭州南路1段55號11樓,徐業鴻,一、促進德育、輔助民間四育之不足。二、推展佛慈、發揚積極為善之特色。三、闡發倫理、潛移社會淫厲之惡風。四、海外宣講、促進國際界之共識。,1984-12-14,臺(73)高52662號,1000000,80570000,(02)2395-1198#36,阮貴良,(02)2391-3415,100,臺北市中正區杭州南路1段55號11樓,
99,財團法人中華管理科學研究基金會,100,臺北市中正區羅斯福路1段4號2棟13樓,徐立德,以贊助我國管理科學研究，從事管理科學之推廣與應用，及提升我國企業經營之管理水準為目的。,1985-01-04,臺(74)高00318號,1000000,1000000,(02)3343-1110,黃美麗,(02)2393-9143,100,臺北市中正區羅斯福路1段4號13樓之1,
101,財團法人中日文教基金會,111,臺北市士林區後港街66號,許水德,以發揚中華文化仁愛之精神，敦睦中日兩國間之傳統友誼，促進東北亞地區之文化學術交流、啟發青年人之研究東北亞地區文化為目的。,1985-01-21,臺(74)高2582號,5000000,5000000,(02)2704-2962,劉修慈,,106,臺北市大安區安和路2段60號8樓,
102,財團法人明裕文化基金會,100,臺北市中正區博愛路70號4樓,魏蔡秀琴,以提供財力、人力及物力、舉辦學術活動，並資助學術研究、配合政府振興中華文化，促進文化交流為宗旨。,1985-03-12,臺(74)高09038號,1000000,1000000,(02)2314-5121,蕭琦萍,(02)2389-9919,100,臺北市中正區博愛路70號4樓,
103,財團法人台電文化工作基金會,100,臺北市中正區羅斯福路3段242號副樓5樓,李肖宗,以倡導文教公益活動、獎助三民主義學術研究為宗旨。,1985-03-16,臺(74)高09683號,15000000,77318600,(02)2366-7527,祝如仙,(02)2365-6869,100,臺北市中正區羅斯福路3段242號11樓,
104,財團法人沈怡文教基金會,241,新北市三重區重新路5段609巷6號8樓之8,王紹堉,以獎助清寒青年研究深造為目的。,1985-02-25,臺(74)高06948號,4000000,4000000,(02)8712-8086#222,陳淑芸,(02)2772-9182,241,新北市三重區重新路5段609巷6號8樓之8,
105,財團法人李澤民先生獎學基金會,105,臺北市松山區南京東路4段126號8樓Ａ室,王紹堉,設獎學金以獎助(一)東吳大學及其他公私立大學法律學系及法律研究所學生就讀及(二)輔助東吳大學及其他公私立大學法律係及法律研究畢業學生出國深造之旅費為目的。,1985-04-03,臺(74)高12337號,1100000,1100000,(02)2577-3766,許嘉容,(02)2557-9534,105,臺北市松山區南京東路4段126號8樓Ａ室,
106,財團法人蒙特梭利啟蒙研究基金會,111,臺北市中山區樂群二路126號9樓,戴明喜,以發揚蒙特梭利之啟蒙教育理論與方法為宗旨。,1985-04-13,臺(74)高14018號,1000000,1000000,(02)8501-2221,周南君,(02)2881-4763,104,臺北市中山區樂群二路126號2樓,
107,財團法人高天成教育學術基金會,100,臺北市中正區常德街1號台大醫院,許書劍,以提高我國醫學教育及學術研究水準，增進社會福利為宗旨。,1985-05-10,臺(74)高18426號,1000000,1000000,(02)2397-0800#2100,許書劍,,100,臺北市中正區中山南路７號,
